First,Second,Count
VERY,LENS,187
APEX,LINE,1399
SERA,AVEC,388
SURF,BOAT,3429
REAL,BUSY,7707
SUCH,HORN,496
SOLO,FINE,206
THAT,DOGS,89852
SOFA,LATE,68
WERE,ONJY,45
THAT,JOHN,1109835
FREE,OVER,14386
TVES,INTO,179
BADE,MAKE,373
GAVE,MORE,187609
FROM,HEAD,648173
EYES,DULL,10209
POOR,ORAL,25462
DIRT,EVER,381
WORD,MAIL,2238
HIGH,HAND,59635
EVES,THAT,1295
COST,FROM,191080
THAN,WITH,3528522
INTO,RUBY,2092
DOES,ROLE,793
MINI,POOL,104
MARY,ERNE,56
LORD,COME,16281
JUNE,TUES,303
MUCH,FISH,14848
DEAL,UPON,32219
WITH,KANT,94394
WERE,NUMB,30802
WERE,OVER,1122055
MIND,WENT,80670
VICE,RAID,551
HOUR,AWAY,57912
IDLE,WALK,253
EARS,OVER,4623
THIN,SHIM,475
SEND,WERE,923
SOLD,LIKE,38123
CAST,UPON,357974
WHEN,PAIN,55627
MUCH,DAWN,124
EPIC,VEIN,770
DOES,THIS,3759724
THAT,FEST,185
TURN,HERE,20412
PANE,WORK,73
CODE,FONT,1637
THUS,TYRE,216
TEAM,BUSY,551
WITH,DAYS,22129
THEN,UPON,126677
THEY,EASE,6892
THAT,ACAS,739
YOUR,BEST,1208436
STIR,LONG,228
DANG,TIEN,86
WITH,LATE,122825
HERE,FEEL,10380
PART,VERY,43843
FACT,OTTO,114
GREY,LOCK,1945
SUCH,CAPS,3361
LATH,WORK,485
MILL,NEAR,24922
DADA,LEKH,102
MILK,INTO,82526
EADS,TOOK,106
UPON,BOTH,315464
MANY,GROG,193
FREE,HOUR,8791
MOST,MOCK,270
AMIR,FLED,190
FRAY,LUIS,35230
ACID,PEAT,4461
EVER,SWAM,3265
MIND,KEEN,1075
WHOM,THIS,553109
BORN,WHEN,90973
TYPE,LIES,3472
BORN,FREE,106999
WERE,WHAT,285427
READ,THIS,1324965
BABY,WOKE,4082
TRUE,THAT,8883616
HELP,MANY,35824
LAIN,INTO,98
BOND,TYPE,11145
THAT,MIME,3440
CAME,NIGH,15421
HAVE,BEEN,243546216
WERE,TAXT,117
LOAN,AREA,590
HELP,THEM,2958622
ADAM,LOCK,313
RIFT,AREA,984
LIKE,DOSA,70
UNIS,FACE,229
WILL,ALSO,7013450
HERO,CAME,5234
LANA,JUST,229
BOTH,SIZE,39684
LION,HERO,136
THAT,FLED,31346
INTO,IVAN,1907
FREE,JAVA,911
MORE,RENT,18207
THIS,GOOD,648983
IDEA,WHAT,995604
THIS,FACT,5138067
WITH,CHEN,13532
BRAY,SOON,75
WANT,THIS,412590
HOLT,SOLD,190
CUTS,FROM,54779
CELL,BIOL,541052
WIRT,SAYS,579
TYPE,GUYS,875
LISA,CARR,103
MEAT,MANY,547
GIVE,LAWS,21013
JUST,HOPE,135490
OPEN,REAL,1155
TAKE,CARE,6226989
COIN,INTO,35128
WITH,IRAN,145979
WITH,IHSS,1154
PLAY,WIDE,642
THEY,DENY,165865
WITH,THIS,25728737
THAN,NICK,4630
HINT,ONCE,752
SIPS,WERE,738
DOWN,DICK,2426
FLAG,THAR,56
MEAN,CELL,25406
THAT,PART,4675113
MAKE,MANY,304921
DANN,AUCH,10473
KOSH,WERE,75
BEAK,GOES,75
COUP,TAKE,165
LOOK,UPON,2356776
WORK,OPEN,7807
TUBE,LIKE,8134
WILL,LOVE,365199
MACS,WITH,2323
GWAN,AWAY,56
EVIL,GROW,1214
THAT,KANI,181
THEM,WITH,12540031
LACK,SELF,23123
WHOM,DUTY,4696
EYES,WENT,122899
FISH,THAT,354363
SAID,DIVA,1610
TIME,CNAA,69
PURE,TRNA,221
DOWN,FLOW,4758
FROM,BARI,6815
KEEN,FACE,4958
ONCE,THIS,712669
WIFE,LIKE,32247
POOR,WILD,3324
IPSI,SUAM,59
JOSE,EAST,105
TIME,JOBS,204144
BURT,USED,445
PALM,WINE,69612
ITEM,LONG,723
YORK,EACH,4405
FAME,SHIP,1017
DOWN,PLAY,5028
BEEN,VOID,12660
THAT,NSMS,498
WHEN,THRO,1975
VERY,WISE,232471
THAN,THIS,4131601
THEY,WANT,4772177
TEAM,ONCE,5530
FILM,DONE,1172
NICE,CODA,47
MODE,FILM,90
BACK,VERY,54488
HIRE,LIKE,534
QUAD,THIS,61
BOTH,CAME,104951
EVIL,PART,5370
ROLL,BAND,13034
INTO,KERN,474
THIS,LOVE,508270
VERY,DOOR,53911
BUSH,WORK,1700
TALE,CITY,878
OMEN,WERE,1297
OHIO,LAST,812
WERE,AWRY,2000
IDEA,KEPT,2782
NAME,UPON,82443
WITH,PURE,444759
FORT,LYON,19050
HUGE,GAPS,11450
SOIL,UNIT,5316
YEAR,WERE,382177
PURE,ANSI,61
LENT,FUEL,560
ZANU,ZAPU,56
LESS,EFFI,277
CUPS,NEAR,506
RAMS,WERE,17027
TUBE,BOLT,178
THUS,MANY,140480
INTO,EVEN,95346
WHEN,AMYL,435
FROM,YEAR,980382
SEND,FIRM,82
POOR,CHAP,39827
LIME,PLAY,51
BEND,OPEN,474
ENOW,WHAT,366
SAVE,JPEG,107
JOHN,HART,41349
SORT,LAST,560
SAND,SENT,490
REVS,WERE,306
SANG,MUCH,1611
HUAN,DIED,100
HELD,JULY,14193
ANCE,WITH,23885
THEY,WILL,25285650
BOYS,RAPE,165
PURE,FAME,1283
THAT,BRUS,160
SOME,FEAR,92937
RENT,PAID,77748
HEWN,WORK,592
WERE,MUCH,2195367
FROM,QUAR,69
PAUL,FINE,423
MILE,AWAY,433533
THAT,LAKE,98962
MISS,MARY,308194
ONCE,LIFE,7693
DOTH,SELL,652
CAVE,WERE,15586
SLOW,DOWN,1104014
TIME,BATH,705
ITES,FROM,315
INTO,HONG,15345
WOOD,FIRE,93808
LALA,RUKH,376
SICK,GIRL,29868
WAYS,WITH,224036
TILL,AXEL,100
THAT,HOLY,239639
ELLS,WERE,1203
ALSO,LONG,74062
HEVE,BOON,58
AUNT,SOME,1071
PINE,ARMS,124
SOUL,THEN,16025
BALL,CURL,120
HATH,MORE,32068
THAI,SUCH,3290
THAN,NORM,2060
YORE,EVEN,73
OVER,SUCH,514647
YARD,LIES,853
DATA,THEY,103824
RICH,WALL,1593
TWAS,VAIN,1059
TONS,FALL,229
THEY,CANT,9331
YOUR,FEET,1142561
LNEW,YORK,2059
WITH,PCOS,23793
WHEN,WAVY,157
FIVE,ORAL,1376
BASE,TANK,321
REMI,LAKE,127
SOME,HELP,458571
DOZE,ANOS,163
UPON,MUTA,80
COST,ISDN,46
MADE,JANE,4331
LEFT,OVER,782881
HEAL,FLUX,571
VEIL,REST,54
FOUR,THIS,19992
HEAR,KATE,1325
SORE,FALL,282
PARA,IRSE,504
THEN,BIND,16946
BANK,AFDB,142
JEST,LIES,549
CLUB,WORK,47103
MILK,VERY,3750
THAN,WHEN,2297904
TEAM,COST,833
IELD,THAT,144
MUCH,HARD,71907
JOHN,THIS,9566
DARK,BROW,15530
HEAD,MERE,113
THAT,MANY,9812965
DATA,RATE,208542
SAME,WINE,11523
MOVE,DATA,32926
BALL,CAPS,3145
MIND,BEST,2803
PURE,LOST,81
JOHN,PAID,5748
PAIN,WERE,43196
GREY,JAIL,46
FELT,SICK,133669
HOOT,WITH,2080
BONE,FIRM,165
MIRA,THAT,657
WITH,UAVS,183
DUKE,SOME,1320
FROM,RUIN,89080
THEN,THAT,3372295
CELL,FORM,8622
FIRS,MUST,218
LIFE,BLDG,5079
FROM,SEAN,8260
FOWL,THAN,1953
IRON,THEY,11841
SOME,CARE,158585
TAKE,CASH,9989
WHAT,TYPE,818050
COIL,MUST,12606
PROD,LIAB,9314
SAME,MURA,70
GRIP,TILL,736
SOME,MILD,54619
JOHN,DEWE,224
SHOD,SOME,118
UTAH,LEAD,96
HERE,WORK,10217
NICK,SLID,1156
SOME,LULL,759
THAN,AVOW,464
LEFT,BARB,68
YOUR,MONO,186
ONLY,BOAT,10979
NEED,LOVE,22745
THIS,RASE,1247
THAN,UPON,491448
NEST,LINE,283
ANNE,CAME,13984
ITEM,TOOL,4184
THIS,SORT,4228984
GAUL,DOES,260
KIDS,SAKE,275
PLEA,THAT,306980
HUNS,SOON,170
FLIP,PEAK,129
HAVE,LEFT,3048943
DARK,MASS,53773
WELL,THAT,2560603
FOOT,ROWS,2636
KITA,SAID,210
MEAN,SORT,3972
FROM,HELL,267966
FELT,BOTH,57787
SORT,TOOK,4828
WHEN,HUBS,71
THAT,FROM,3933244
COPY,OVER,9131
WERE,LATE,122253
SUCH,LIME,2429
DEBT,THEY,20352
REED,USES,679
GANG,MILL,1321
HIDE,WITH,27915
SECT,WILL,4894
GRID,CELL,33652
CORE,FIRE,199
HATE,BATS,242
WIDE,OPEN,1050495
LOOP,FOOD,54
JOHN,INCE,723
PEAK,WITH,62806
AWAY,FROM,30276888
BARS,COST,1020
LAMP,WITH,104789
MORE,USES,18017
REAP,JUST,1009
HATE,DIET,55
DROP,BOOK,64
JUST,TORN,5314
YOUR,CALL,162163
THEM,WERE,5190954
ONLY,PORN,162
OPEN,HOAT,46
POTS,SUCH,757
TUBE,MAKE,968
HSIN,SAID,429
MANY,INTO,40106
SAFE,LINE,4494
CORA,THAT,1488
WHAT,OSIP,72
TOLD,VENN,107
LAWN,OPEN,232
DOME,ROCK,1493
AWAY,YOUR,216316
THEN,DREW,144593
ORGY,WITH,3942
TUSK,THAT,1479
JEEP,CARS,163
BACK,LINE,20583
THAT,THEN,733015
THEN,JENS,173
MATT,WERE,4931
CASH,GOLD,443
MENU,THAT,112770
THUS,REDI,43
SHOW,THOU,1351
SENS,NOUS,443
THIS,DATA,756016
WIDE,PATH,17982
FACT,ONLY,173428
VERN,WENT,316
TIME,FROM,1460918
CUPS,LARD,173
BANK,PUTS,2434
FOOD,TILL,9882
GRAY,RAIN,5858
JANE,ONCE,1391
SAID,NOOR,455
CTCL,WITH,113
ADAM,HOMO,1257
WERE,OTHE,57
MORE,MILK,81055
ECUS,WERE,992
UNIT,SUCH,22025
UPON,MORE,138134
CAVE,OVER,2451
YNET,NEWS,95
SOFT,NEAT,68
POET,MUST,85310
OUTA,FIVE,40
SOME,EIGH,55
GRIM,CRAG,57
FACT,NEXT,1392
AWAY,FRQM,70
THEY,MEET,794337
FORD,LONG,350
KEPT,FROM,502872
OXEN,TIED,523
DALY,DREW,140
THAN,ELIE,238
THOU,DOTH,1091
ABER,NEUE,192
LATE,FAST,680
WISE,WITH,29772
TOOL,MADE,9884
SWIG,LIKE,50
HAVE,COSY,303
THAT,ONCE,2421081
HATS,THAT,24437
CENT,WENT,19615
HERE,FUEL,341
WHAT,ROOM,38749
FIVE,AIMS,1802
NEXT,HARD,1895
SANT,SHRI,94
TILT,LENS,72
CHOU,YANG,13249
SHOW,LOVE,32301
FOUR,DAYE,72
TECH,SHOP,213
TOOK,FIVE,97892
MEAT,INTO,61298
SOME,OPEN,79112
THAT,NORE,334
WORD,SINK,928
TIES,GIVE,1129
PROB,ABLE,877
YOUR,BOSS,368034
LINE,FUSE,2085
KNEW,MUST,40587
THIN,EYES,755
TOOK,LOVE,1478
DRUG,MORE,6274
DIKE,MUST,605
SELL,LAWS,48
THOU,WILT,801620
ROOT,MEAN,103000
FAME,WERE,20890
CARD,USED,15675
WITH,STRE,48
LATE,KING,323731
KNOW,THAT,23010061
FAIT,FUIR,286
THIS,GINK,154
NEED,RING,108
WIFE,FILL,222
FROM,EVIL,396711
AVEC,TOUT,9631
ODES,SHOW,429
LONG,FOLK,974
THEN,ENOS,188
LORE,CITY,199
EVER,WORK,33154
GETS,BACK,159823
SEEM,THAT,2318286
COUP,FOUR,236
SOME,HARD,200709
FILL,ADDE,91
TIME,SETS,7765
DOWN,TAXI,277
FOUR,MAKE,6062
HARD,DIRT,8016
MOST,COPY,1666
BACK,AWED,209
FACT,THAT,57745924
SHOW,BEST,5913
ARTS,FORT,175
FAST,RUNS,4120
WHAT,WILL,4440319
JEFF,KNEW,5743
THIS,HOLY,330408
BABA,EGBE,289
FINE,LINE,186994
CASE,WHAT,67941
ARAM,MUST,87
WOLL,THAT,986
BLUE,HAVE,4932
LIKE,KEAN,1126
PIER,PIER,377
COST,EVER,956
COCO,YAMS,507
LOFT,THAN,1255
EASE,FALL,80
LETS,THEM,101882
BOYS,ALSO,32311
WITH,CLAY,285361
WEEK,FROM,242714
FROM,FLAW,1171
SING,LIFE,463
KEPT,HAIG,51
VOGT,SENT,80
HOPE,THAT,7773971
LESS,JUNK,932
HELD,LORD,1071
EYES,THEY,66307
TERM,MAIN,882
JOHN,RUDY,244
WERE,ZEAL,268
EACH,CASO,321
CART,SANK,230
PUSS,SAID,492
BEEN,BRIM,110
THAT,TELS,248
FIVE,WAYS,80268
PION,ONLY,65
THIS,SIDE,1606556
NEAR,NICS,117
TREE,UPON,17840
THAT,KARO,800
FROM,GONA,832
